"school_id","school_year","school_year_id","school_name","category","arts_approved","ratio_approved_csc","school_average_minutes","arts_course_enrollment","percent_access","budget_per_student","count_partnerships","final_score","longitude","latitude","community_area","laef","category_simple","visual_arts","music","theatre","dance"
397,"2023-24",13,"Wendell Smith Elementary School","elementary_school",0,NA,0,0,0,20.4678362573099,2,4,"-87.60539","41.70747","Pullman",FALSE,"Elementary Schools",NA,NA,NA,NA
398,"2023-24",13,"Robert Healy Elementary School","elementary_school",3,389.032258064516,91.0820895522388,1206,1,1.65837479270315,1,2,"-87.64084","41.83922","Bridgeport",FALSE,"Elementary Schools",45,45,0,0
399,"2023-24",13,"Phoebe A Hearst Elementary School","elementary_school",1,249,81.75,240,0.872727272727273,4.01606425702811,1,3,"-87.74616","41.80856","Garfield Ridge",FALSE,"Elementary Schools",20,0,0,0
400,"2023-24",13,"James Hedges Elementary School","elementary_school",2,207,141.044776119403,469,1,84.5410628019324,12,1,"-87.67308","41.80738","New City",FALSE,"Elementary Schools",18,18,18,0
401,"2023-24",13,"Helen M Hefferan Elementary School","elementary_school",1,162,101.851851851852,162,1,9.25925925925926,2,2,"-87.7361145","41.8784137","West Garfield Park",TRUE,"Elementary Schools",0,0,0,13
402,"2023-24",13,"Charles R Henderson Elementary School","elementary_school",0,2080,70.6730769230769,208,1,120.192307692308,4,3,"-87.67242","41.79076","West Englewood",FALSE,"Elementary Schools",10,3,0,0
403,"2023-24",13,"Thomas A Hendricks Elementary Community Academy","elementary_school",1.5,110.666666666667,146.298642533937,221,1,210.843373493976,3,1,"-87.63388","41.81597","Fuller Park",TRUE,"Elementary Schools",14,14,0,0
404,"2023-24",13,"Patrick Henry Elementary School","elementary_school",0,4000,68.8333333333333,450,1,25,3,3,"-87.71592","41.95867","Irving Park",FALSE,"Elementary Schools",18,0,0,0
406,"2023-24",13,"South Loop Elementary School","elementary_school",2.5,298,135.946308724832,745,1,6.71140939597315,11,1,"-87.6284313","41.8596522","Near South Side",FALSE,"Elementary Schools",17,22,0,0
407,"2023-24",13,"Theodore Herzl Elementary School","elementary_school",1.5,244,2199,100,0.273224043715847,2.04918032786885,1,3,"-87.71836","41.8615","North Lawndale",FALSE,"Elementary Schools",27,27,0,0
408,"2023-24",13,"Agustin Lara Elementary Academy","elementary_school",2,152.5,123.147540983607,305,1,32.7868852459016,4,1,"-87.67229","41.81006","New City",FALSE,"Elementary Schools",18,18,0,0
409,"2023-24",13,"William G Hibbard Elementary School","elementary_school",2,407.5,72.441717791411,815,1,45.398773006135,6,3,"-87.71038","41.97087","Albany Park",FALSE,"Elementary Schools",18,21,0,0
410,"2023-24",13,"Rufus M Hitch Elementary School","elementary_school",2,242,121.735537190083,484,1,6.19834710743802,13,1,"-87.77862","41.98383","Norwood Park",FALSE,"Elementary Schools",19,19,0,0
411,"2023-24",13,"Charles N Holden Elementary School","elementary_school",2,198.5,143.60201511335,397,1,224.181360201511,1,1,"-87.65405","41.8384","Bridgeport",FALSE,"Elementary Schools",18,18,0,0
412,"2023-24",13,"Oliver Wendell Holmes Elementary School","elementary_school",1,117,60,131,1,0,1,3,"-87.6496","41.79365","Englewood",FALSE,"Elementary Schools",0,9,0,0
413,"2023-24",13,"Julia Ward Howe Elementary School of Excellence","elementary_school",1,326,72.6993865030675,326,1,4.60122699386503,1,3,"-87.75995","41.89355","Austin",FALSE,"Elementary Schools",19,0,0,0
414,"2023-24",13,"Thomas Hoyne Elementary School","elementary_school",1.5,154,223.376623376623,231,1,21.6450216450216,2,1,"-87.56773","41.73314","Calumet Heights",FALSE,"Elementary Schools",10,0,0,10
415,"2023-24",13,"Paul Cuffe Math-Science Technology Academy ES","elementary_school",1,211,112.037914691943,211,1,18.957345971564,2,1,"-87.65352","41.74207","Auburn Gresham",FALSE,"Elementary Schools",0,9,0,0
416,"2023-24",13,"Countee Cullen Elementary School","elementary_school",0.5,338,65.5147928994083,169,1,147.92899408284,1,2,"-87.61162","41.70028","Roseland",FALSE,"Elementary Schools",0,10,0,0
417,"2023-24",13,"Charles Evans Hughes Elementary School","elementary_school",1,107.5,150,148,1,7.75193798449612,1,2,"-87.73255","41.86058","North Lawndale",FALSE,"Elementary Schools",0,0,0,0
